AT,V,AP,RH,PE
14.46,53.82,1016.55,68.11,464.3066995
19.68,44.34,1019.49,49.5,469.9766995
15.74,43.34,1013.38,81.45,464.9466995
12,39.35,1015.48,82.51,478.3466995
10.03,42.18,1017.3,85.99,474.0333005
14.29,37.85,1009.98,92.81,466.9233005
24.51,51.86,1014.64,67.57,445.0333005
17.7,49.21,1015.16,67.91,454.2633005
28.59,80.18,1011.36,89.18,433.2566995
14.02,43.34,1016.06,85.8,464.6733005
16.68,43.14,1018.39,76.48,459.83
12.81,45.51,1015.46,79.97,470.9766995
6.25,40.07,1020.19,65.24,494.39
9.41,43.5,1021,88.74,473.84
19.47,43.43,1011.66,69.93,451.38
12.38,41.62,1012.37,84.15,461.07
23.14,63.94,1017.49,53.19,446.57
9.63,41.14,1027.99,87.89,468.0233005
13.67,38.53,1009.3,81.85,470.39
12.27,41.17,1019.39,52.18,473.84
14.46,45.87,1008.26,89.44,458.69
14.57,42.18,1015.13,74.89,465.75
9.87,41.82,1033.04,68.57,475.58
29.23,74.22,1008.49,57.88,430.6066995
10.24,41.17,1019.73,82.04,481.4866995
33.3,68.14,1003.02,53.43,425.1733005
29.05,64.84,1011.1,51.39,440.8733005
12.63,48.04,1013,100.13,464.6
25.97,69.34,1009.43,88.11,436.7266995
6.86,41.38,1021.35,90.78,489.1966995
18.28,41.1,1002,65.69,461.7366995
15.33,42.28,1008.19,66.15,463.4933005
10.33,40,1021.35,90.84,479.32
8.31,40.46,1020.07,78.18,478.4266995
25.16,54.2,1012.69,58.02,441.99
14.85,45.01,1013.12,85.53,460.19
15.48,53.82,1016.1,64.77,464.3966995
23.37,65.46,1016.25,48.64,448.7766995
22.88,50.23,1016.11,63.77,458.08
25.32,63.77,1014.55,74.69,441.5
24.44,59.21,1017.36,61.45,447.5266995
30.17,64.79,1017.06,43.81,439.75
14.84,41.23,995.02,88,463.1433005
27.96,49.16,1004.8,35.64,444.1966995
18.67,44.06,1017.13,77.18,456.2166995
22.56,66.48,1003.82,77.46,436.0233005
24.91,58.69,1008.22,82.81,437.6666995
26.11,70.36,1007.64,70.12,447.0766995
19.95,58.46,1017.45,89.46,448.8066995
32.63,69.89,1013.85,41.66,424.0133005
14.21,39.16,1016.5,85.09,472.1633005
28.18,60.07,1016.34,49.13,439.9033005
6.67,39.37,1020.31,73.56,489.8366995
13.27,52.75,1025.86,65.12,466.5266995
10.37,37.83,1006.5,90.99,472.3666995
26.11,52.36,1013.9,59.62,455.4666995
18.68,53.29,1018.16,75.01,459.89
12.12,41.17,1017.68,78.72,472.3766995
12.07,38.25,1012.67,81.66,470.36
7.54,40.72,1023.82,85.15,487.6266995
13.61,38.47,1015.1,54.98,464.8033005
13.61,41.74,1021.66,62.83,470.0833005
12.25,44.58,1016.47,81.15,473.5333005
26.1,74.16,1009.42,85.4,437.18
26.09,60.23,1010.74,60.88,447.5866995
32.14,68.31,1010.48,42.15,436.15
21.55,44.57,1006.03,71.54,446.84
5.74,40.62,1016.31,84.91,482.8566995
31.41,74.16,1008.65,68.5,432.0766995
34.97,73.56,1006.57,44.69,436.8566995
12.32,41.26,1022.42,79.74,471.9766995
31.32,71.29,1008.37,50.07,428.7533005
27.97,58.84,1002.25,57.88,444.4033005
26.23,70.72,1009.73,73.44,446.9866995
24.8,61.02,1009.86,71.75,438.96
28.35,71.14,1010.65,60.38,427.5033005
29.84,74.87,1009.64,61.39,436.7566995
30.95,71.58,1009.95,50.02,428.7633005
13.38,40.12,1013.92,96.96,468.15
28.54,69.59,1008.84,78.62,433.3
28.52,57.82,1004.81,57.82,437.1066995
28.62,59.14,1016.36,53.1,437.7966995
16.78,41.35,1000.23,70.52,461.3466995
10.08,43.14,1010.67,85.9,480.4366995
13.07,43.13,1016.93,70.02,473.1766995
17.99,43.79,1016.13,75.63,464.1066995
15.46,44.6,1017.7,68.2,459.62
27.11,66.49,1013.71,39.28,434.0833005
22.6,69.84,1006.37,79.59,433.4233005
32.09,72.86,1003.47,54.59,436.4866995
20.03,47.45,1009.04,77.56,448.8933005
22.63,70.47,1008,82.27,441.92
27.06,70.47,1007,72.37,432.5266995
14.24,45.01,1013.54,88.68,461.64
25.79,59.43,1008.61,64.3,437.2166995
8.62,39.54,1011.64,82.86,481.3233005
30.34,75.08,1005.32,52.97,435.5533005
23.55,62.96,1020.16,70.16,445.9433005
26.21,65.12,1016.06,44.31,442.7333005
12.89,48.14,1017.48,83.95,462.0633005
25.68,58.41,1013.71,70.61,440.78
18.85,48.06,1012.52,67.88,451.77
11.49,35.76,1019.08,60.04,470.7433005
13.6,42.86,1013.37,87.52,473.9766995
22.56,60.29,1018.19,67.53,448.8566995
26.43,77.17,1008.67,92.59,431.26
12.2,44.77,1018.64,76.1,467.7033005
30.17,75.08,1005.17,55.89,440.5966995
21.55,60.27,1017.42,92.59,443.93
23.48,72.99,1009.61,88.16,437.1
21.19,52.3,1008.24,79.19,445.3533005
13.61,42.34,1017.57,91.35,467.3566995
9.82,36.18,1019.18,65.8,475.21
8.02,39.04,1018.49,68.07,477.8233005
11.2,41.54,1019.94,67.18,477.3233005
29.21,72.25,1012.72,71.85,434.64
22.21,48.14,1015.08,66.8,450.0366995
11.34,43.67,1011.54,87.95,474.4766995
19.13,50.78,1008.51,87.54,448.7366995
15.19,42.03,1017.38,71.66,464.3466995
27.49,71.94,1006.62,73.35,433.5833005
16.57,43.7,1015.67,71.95,465.78
9.38,43.7,1015.45,90.47,481.52
6.43,36.08,1022.73,85.03,486.39
11.86,40.27,1008.06,72.91,474.57
10.42,41.46,1021.04,89.16,480.9466995
29.85,68.24,1007.01,30.99,433.43
23.1,59.43,1007.36,85.96,442.3466995
22.25,60.77,1017.8,82.19,445.7566995
11.43,44.78,1013.43,82.45,471.09
18.06,50.16,1009.52,100.09,450.53
30.52,70.4,1003.9,64.33,439.9966995
16.58,45.87,1009.66,97.59,456.0933005
29.72,68.24,1009.92,66.42,428.2466995
25.6,73.67,1005.78,84.82,434.9566995
22.18,65.46,1016.74,54.02,449.6266995
17.89,44.78,1010.03,53.78,456.0333005
26.56,56.57,1013.73,63.9,441.0333005
29.6,69.82,1010.49,61.66,438.47
10.96,41.93,1019.28,87.38,474.9866995
19.78,54.42,1011.74,89.34,458.5466995
25.79,75.6,1017.46,75.63,432.9433005
13.09,54.3,1017.61,82.38,469.2933005
24.4,71.14,1009.7,59.26,436.68
8.27,35.77,1015.3,73.36,479.8366995
22.86,58.96,1014.03,54.96,451.82
12.57,39.18,1023.09,77.28,471.87
12.65,44.03,1007.13,85.23,464.3033005
7.4,40.72,1022.56,87.67,482.5833005
30.36,68.08,1010.76,51.32,431.6766995
12.71,43.8,1023.15,71.16,464.4933005
18.56,42.18,1001.46,99.59,458.3166995
26.88,73.56,1004.85,94.36,430.63
15.92,44.85,1015.84,59.99,465.7033005
29.7,57.35,1005.63,57.35,433.27
9.53,40.23,1017.74,89.05,482.2933005
17.72,39.99,1007.34,72.3,459.9933005
7.55,39.22,1014.53,77.76,482.19
28.43,73.18,1012.52,71.05,427.11
7.84,40.07,1016.68,47.63,490.4066995
8.8,39.42,1025.17,68.72,478.2066995
24.44,52.84,1006.39,49.05,440.2
13.97,38.47,1015.15,55.28,462.5933005
5.89,35.77,1019.78,79.58,479.86
24.03,62.44,1010.96,79.88,430.66
25.43,70.17,1000.46,87.84,436.43
5.74,37.8,1021.37,74.47,492.5166995
19.44,59.21,1018.5,88.35,449.7466995
14.72,39,1016.42,76.42,466.6366995
19.15,57.76,1019.62,74.89,456.9533005
19.96,39.53,1006.16,62.77,462.1966995
9.08,42.49,1010.67,85.35,483.1666995
6.57,43.65,1018.24,74.47,483.1666995
18.94,46.93,1010.22,75.45,441.41
4.87,42.85,1012.69,94.72,480.3433005
9.37,40.11,1024.94,75.03,472.8366995
9.06,39.3,1019.73,84.23,482.1166995
18.88,62.96,1020.62,82.01,454.4733005
28.47,67.69,1004.79,56.51,432.3766995
25.67,69.88,1007.84,83.32,439.6433005
24.31,63.86,1019.47,58.54,440.9833005
16.7,50.88,1015.11,97.25,454.4733005
25.04,63.86,1018.92,52.79,443.3066995
20.97,47.43,1007.64,71.18,446.5133005
14.44,41.2,1015.96,81.97,469.85
23.54,67.83,1009.44,65.48,424.5333005
9.68,41.44,1015.19,87.34,478.1833005
5.85,41.55,1001.95,99.41,484.47
13.68,45.08,1024.91,85.26,468.7266995
23.16,57.76,1017.74,63.79,451.79
30.88,69.51,1011.48,46.58,433.14
9.76,40.71,1020.88,91.82,469.2433005
33.58,77.54,1010.19,53.49,433.75
18.22,44.34,1019.35,56.78,470.9766995
22.55,47.45,1008.65,67.9,449.1266995
34.43,68.51,1010.17,34.09,431.39
26.57,48.06,1013.23,40.24,439.54
20.92,70.02,1010.23,95.58,444.64
15.07,43.48,1015.22,57.74,461.6666995
9.47,41.4,1026.21,89.08,480.79
27.34,71.64,1008.12,72.22,438.76
22.96,45.01,1012.21,50.81,450.37
28.81,64.96,1000.46,68.05,429.6166995
14.82,40,1016.32,66.3,460.1666995
24.92,63.94,1017.7,44.92,441.07
26.86,71.14,1007.11,76.61,425.2633005
32.12,69.98,1013.31,54.3,429.86
5.71,40.77,1022.49,87.9,489.1866995
26.43,66.48,1004.36,55.9,435.59
21.4,59.21,1017.84,78.01,445.8566995
24.55,58.86,1015.22,60.53,445.8
26.41,68.24,1010.6,77.79,430.2266995
21.97,58.12,1014.21,85.93,450.6166995
24.6,48.78,1018.1,73.71,440.5233005
9.13,39.16,1014.14,86.17,484.86
18.92,44.63,1020.32,47.81,449.9333005
24.88,63.31,1014.23,55.76,441.54
27.4,69.84,1002.98,76.48,430.54
21.45,45.09,1013.83,52.26,451.4433005
21.33,60.1,1010.97,78.36,453.6566995
17.1,48.98,1016.48,85.63,454.43
9.86,41.01,1018.49,98.71,465.6633005
21.5,59.87,1019.05,76.56,445.7566995
25.38,65.34,1012.87,62.49,449.1166995
24.53,74.78,1009.9,78.34,448.0066995
27.16,71.32,1007.81,89.07,428.8233005
25.51,64.27,1013.28,61.85,444.76
19.4,64.63,1020.38,81.1,455.5466995
30.85,68.94,1007.31,68.99,427.8066995
7.82,41.16,1023.3,87.7,475.66
26.92,63.73,1010.29,68.6,442.0566995
11.57,41.54,1020.13,69.14,478.5966995
19.39,60.1,1010.28,83.31,454.2766995
29.37,74.78,1009.47,55.65,432.4933005
31.84,77.95,1014.9,55.35,431.5733005
31.06,67.17,1007.62,65.54,436.2033005
13.49,44.63,1019.12,70.02,469.3733005
22.07,50.78,1008.6,61.33,451.6666995
9.72,39.66,1018.31,76.07,478.3433005
20.42,45.01,1012.23,66.5,449.5733005
6.45,35.77,1018.86,67.84,481.4133005
13.2,40.83,1007.75,94.98,470.7033005
18.9,47.83,1005.31,77.79,457.6466995
20.31,49.69,1011.57,69.03,453.6633005
6.33,42.07,1004.25,77.1,484.57
11.37,39.16,1016.54,87.05,480.54
18.64,43.79,1016.01,51.17,466.8366995
24.75,69.45,1013.97,53.49,438.28
7.05,43.65,1018.41,72.36,478.7633005
5.49,40.81,1014.43,90.41,485.6533005
26.3,59.07,1007.84,78.32,441.94
27.98,74.78,1009.46,63.11,435.1133005
19.54,54.9,1017.15,70.37,455.86
16.37,43.5,1021.26,72.4,457.4733005
20.6,45.38,1014.93,75.78,460.24
27.23,71.77,1006.59,77.94,427.39
16.55,41.66,1011.45,55.53,463.4333005
32.07,71.29,1008.43,44.95,428.6666995
25.23,60.84,1017.79,56.42,443.7266995
29.22,73.18,1012.22,64.91,432.2766995
21.23,50.59,1017.42,69.26,453.95
10.35,37.14,1013.37,69.26,472.63
21.49,56.9,1007.47,66.66,454.1666995
23.82,63.76,1009.8,68.94,442.2266995
25.36,61.41,1011.89,55.64,453.9966995
26.89,49.16,1003.84,41.22,442.39
24.65,72.43,1007.99,90.05,435.8833005
21.39,52.3,1009.52,88.67,446.0633005
7.85,37.8,1020.9,59.19,478.68
29.07,72.51,1009.24,58.38,439.8
23.45,69.05,1003.03,66.41,438.5333005
14.49,44.84,1024.09,86.55,464.0133005
9.75,40.81,1026,84.44,483.6566995
16.94,49.64,1024.43,69.22,460.9566995
27.5,65.34,1014.93,47.46,441.2966995
13.79,40,1016.02,70.17,461.16
26.98,72.58,1008.55,78.5,429.4133005
8.96,40.02,1031.21,82.32,473.7633005
5.97,36.25,1029.65,86.74,487.03
25.1,69.89,1015.42,85.81,433.2733005
14.84,44.63,1019.28,57.37,467.7066995
15.55,40.66,1016.21,88.5,459.2366995
8.05,40.8,1028.01,89.56,481.7233005
15.09,41.76,1022.4,76.22,464.9766995
23.3,72.99,1008.54,92.11,435.9133005
21.77,42.23,1013.03,67.44,460.8033005
6.86,42.49,1007.95,93.96,486.14
9.57,39.82,1013.12,89.15,468.02
18.96,50.16,1010.72,100.09,451.2
19.82,41.67,1012.92,51.92,458.5766995
22.08,41.1,1002.19,46.69,455.04
17.31,58.49,1011.8,92.77,456.84
18.32,47.83,1005.06,87.21,452.4033005
27.75,70.4,1006.65,90.21,434.8233005
26.13,71.64,1004.16,87.18,439.73
29.45,74.16,1010.49,64.87,436.4033005
23.63,73.18,1012.29,88.81,437.7
24.11,68.3,1017.33,79.16,430.9133005
25.72,72.39,1003.01,86.38,434.4766995
14.96,41.76,1024.07,73.17,464.9666995
28.32,72.58,1007.77,78.35,429.7666995
26.94,68.24,1010.49,76.58,430.34
13.44,39.39,1012.93,84.29,471.3766995
24.33,46.93,1013.61,53.02,451.7466995
22.06,64.15,1021.07,68.66,453.1466995
27.89,70.94,1007.54,49.18,435.21
8.47,42.02,1005.37,92.73,477.67
24.74,63.87,1016.91,55.65,447.02
8.5,39.16,1014.1,86.64,485.76
24.19,58.95,1017.78,58.78,443.6166995
32.31,68.94,1006.11,71.78,431.14
12.02,41.92,1030.1,84.45,465.82
22.66,69.84,1006.16,82.79,440.7666995
14.1,44.84,1025.09,79.42,466.5133005
26.78,73.06,1007.99,90.47,433.25
31.6,73.17,1010.05,43.48,433.37
29.3,74.16,1007.72,81.92,429.6133005
29.12,66.56,1006.9,49.79,431.6466995
17.54,58.49,1012.35,91.56,453.02
31.9,69.4,1003.4,57.76,437.7466995
28.83,72.43,1006.69,67.04,430.5566995
10.45,40,1019.01,89.01,465.43
17.79,44.9,1020.5,69.72,457.72
17.58,44.9,1020.52,71.48,459.78
18.9,62.96,1020.69,80.57,455.88
23.28,69.51,1013.31,53,444.17
18.81,61.87,1009.71,70.47,446.7833005
7.46,41.26,1009.63,96.51,481.1233005
22.89,65.34,1015.53,61,450.53
9.88,40.71,1015.34,84.32,470.0933005
17.59,65.48,1018.96,81.34,454.51
23.97,64.33,1010.54,84.65,445.5766995
11.95,41.48,1013.44,74.83,465.41
22.12,49.39,1019.8,72.83,449.2933005
9.05,40.67,1015.57,75.48,488.2566995
27.6,69.34,1009.63,71.58,440.6
16.52,44.88,1017.61,90.08,458.0233005
5.84,41.38,1020.34,82.41,487.6933005
10.77,44.78,1012.87,84.16,470.66
21.95,50.66,1013.92,70.94,456.9366995
23.09,70.02,1010.58,77.85,444.9766995
12.31,44.03,1007.78,94.42,466.4233005
14.29,39.59,1012.36,92.38,461.4233005
11.65,41.54,1020.09,67.96,478.1066995
23.15,58.79,1011.11,82.49,447.71
12.14,48.04,1011.8,100.13,466.7866995
30.26,71.77,1006.24,58.98,429.27
16.74,38.01,1022.63,69.19,461.9033005
20.67,57.5,1014.42,81.89,453.29
20.21,59.14,1016,70.38,450.4966995
25.02,60.77,1016.71,69.85,439.5033005
24.82,66.54,1010,60.36,442.5866995
23.14,62.26,1011.87,66.44,442.6733005
21.84,60.29,1017.23,66.89,454.4
26.11,69.84,1002.57,84.99,427.45
10.67,42.02,996.55,99.94,470.9433005
14.93,42.44,1012.65,86.8,469.5333005
22.19,70.02,1011.03,82.49,443.1433005
29.27,64.69,1006.85,55.79,438.23
22.47,47.45,1007.62,76.65,448.8466995
31.95,70.8,1008.38,66.26,434.4966995
29.74,70.32,1008.1,52.72,430.9833005
18.1,45,1023.05,48.41,465.46
25.35,66.56,1008.75,66.88,434.8033005
10.48,36.71,1023.18,81.37,471.5933005
26.96,72.86,1004.86,59.17,442.8266995
17.76,42.42,1009.09,66.26,469.9766995
9.68,40.77,1022.04,85.23,472.0233005
9.84,40.22,1009.5,85.38,479.65
14.52,40.35,1011.11,69.84,472.5066995
23.49,42.8,1013.96,65.31,458.1933005
14.53,39,1016.48,76.36,463.1533005
17.49,40.55,1001.73,73.15,462.37
10.46,41.26,1020.65,92.24,473.76
13.86,40.83,1008.76,82.4,468.6633005
30.68,71.25,999.98,68.99,431.7633005
10.48,41.93,1017.17,92.81,478.3033005
23.66,77.54,1008.5,85.32,433.6733005
23.85,69.45,1013.99,60.6,441.3766995
30.89,74.87,1008.99,56.58,430.9733005
14.3,53.82,1016.64,63.9,463.7133005
23.98,50.32,1008.41,67.75,445.1566995
33.72,74.33,1011.4,37.51,428.96
9.76,39.16,1014.19,85.4,482.38
9.46,42.28,1008.67,78.16,480.2433005
14.43,38.91,1013.28,70.26,468.83
5.86,40.62,1017.03,85.06,480.71
10.57,36.71,1022.62,80.49,473.88
28.69,67.25,1017.71,53.83,433.9166995
13.27,42.28,1008.3,86.2,467.1533005
13.52,40.83,1008.31,84.14,471.95
28.01,73.18,1012.25,75.02,431.02
13.13,50.59,1020.26,87.44,470.03
14.43,44.47,1028.57,70.7,468.2666995
7.84,43.52,1022.23,96.51,485.4966995
26.06,71.73,1009.65,77.02,432.38
18.93,44.06,1017.58,68.23,454.75
13.63,40.92,1021.89,80.5,462.4
28.02,68.08,1013.44,44.46,436.6566995
9.45,41.4,1027.34,86.66,473.7833005
29.27,69.89,1015.21,67.16,427.2566995
21.38,58.33,1013.05,72.75,448.5066995
31.85,73.91,1003.6,60.22,432.9666995
11.82,41.26,1020.74,91.14,468.6566995
22.64,63.73,1013.88,84.22,445.5033005
22.72,69.13,1010.81,92.43,438.01
27,71.25,1002.66,70.59,438.9266995
29.55,66.25,1009.38,69.55,436.29
23.56,71.85,1009.67,74.78,441.1866995
12,41.17,1019.48,58.71,474.4
26.1,63.56,1013.12,61,441.0433005
24.88,73.17,1012.26,84.96,433.1433005
26.4,48.41,1008.51,66.95,440.5233005
25.69,57.32,1012.34,44.18,441.43
22.1,65.94,1009.79,67.57,445.6566995
24.47,58.05,1011.27,71.7,445.2233005
12.07,39.99,1009.7,93.27,474.7666995
19.89,51.43,1007.38,91.79,448.85
9.17,40.67,1019.03,66.21,485.6233005
12.85,40.92,1023.04,84.04,462.7566995
5.23,35.57,1026.23,79.38,488.5
12.43,41.62,1011.87,80.57,462.3166995
12.93,41.39,1018.5,80.28,474.2766995
9.03,40.71,1025.98,81.94,483.2633005
31.73,74.67,1016.38,44.51,427.0466995
25.63,71.58,1010.14,87.57,435.4666995
22.7,61.41,1012.08,78.08,451.4566995
32.06,69.88,1006.88,63.53,430.7633005
24.8,64.63,1020.69,55.74,449.5266995
23.47,60.77,1017.19,75.36,444.46
24.31,65.34,1013.82,63.85,451.5866995
23.02,63.47,1012.21,80.61,445.3666995
34.09,68.51,1009,32.96,431.19
17.75,42.24,1016.86,61.52,470.5666995
31.8,69.05,1000.77,49.82,428.2066995
6.62,42.49,1008.74,94.57,481.0333005
8.51,41.26,1023.17,87.79,479.2166995
27.41,74.67,1016.57,80.16,429.21
31.27,73.91,1003.72,68.92,432.2966995
17.45,49.64,1026.4,66.67,454.67
22.63,57.17,1009.83,77.43,431.8333005
10.07,39.66,1015.37,83.78,479.64
26.12,68.51,1013.06,68.96,434.8166995
12.28,42.34,1019.19,95.8,468.7366995
23.89,70.04,1011.16,84.9,432.0033005
14.8,42.77,1019.14,76.53,460.5833005
15.45,45,1023.63,70.74,471.2466995
23.09,51.19,1009.4,81.61,443.22
24.92,73.68,1015.12,93.68,439.9366995
13.15,40.78,1024.13,79.59,462.3
18.6,58.71,1009.8,86.42,432.0866995
24.88,51.43,1011.28,67.38,442.7366995
11.36,38.25,1013.22,86.16,475.2566995
17.12,68.28,1003.56,94.29,448.2333005
22.1,68.63,1015.19,59.05,451.2466995
25,69.71,1009.23,80.92,438.38
21.04,47.43,1007.15,64.82,451.9766995
26.85,63.56,1013.25,52.84,444.39
14.87,42.18,1015.23,74.41,464.1833005
32.21,68.3,1014.94,49.38,431.3666995
25.87,57.32,1012.06,44.13,444.5766995
19.98,60.77,1017.72,90.71,450.1666995
19.26,44.34,1019.45,51.32,466.0133005
16.75,36.99,1006.42,87.18,465.8866995
15.37,41.96,1011.58,96.76,466.02
27.96,77.24,1007.23,78.51,431.6433005
20.27,63.56,1014.24,86.55,445.2233005
24.66,66.49,1010.83,70.06,439.7166995
25.53,59.57,1010.65,82.04,447.2966995
25.43,60.95,1014.62,51.39,442.9433005
14.48,46.18,1015.83,92.15,464.0066995
19.5,65.12,1015.53,73.87,452.2833005
10.27,38.38,1022.16,70.77,477.2866995
17.98,39.63,1005.42,82.12,468.3966995
12.38,44.2,1020.23,81.5,467.04
26.61,56.85,1012.48,48.84,435.5533005
24.05,72.24,1011.32,88.94,439.5166995
15.9,41.35,1005.35,92.89,466.6366995
31.65,66.25,1008.57,59.05,435.6433005
11.2,42.02,999.99,96.69,470.5633005
14.96,39.31,1010.52,71.28,461.97
19.51,44.05,1008.52,78.38,451.7
27.57,70.36,1007.18,71.1,443.5666995
26.31,77.95,1012.45,77.22,435.1233005
29.59,70.17,999.71,71,436.5566995
10.14,45.01,1018.12,94.32,475.2666995
9.44,41.79,1020.16,72.26,475.7366995
13.69,41.74,1021.19,60.86,471.84
23.4,49.16,1002.85,69.82,446.05
12.42,38.25,1012.76,82.23,472.3
21.81,43.77,1011.97,64.72,453.13
33.2,70.8,1008.75,59.41,429.0033005
22.06,45.61,1014.3,77.75,453.9033005
27.86,63.07,1011.11,56.81,440.48
27.75,66.54,1010.21,46.37,439.2866995
20.98,60.07,1016.26,67.18,447.9666995
17.55,43.14,1018.86,76,463.2866995
6.05,38.68,1017.46,66.13,483.5
17.25,39.39,1014.27,67.8,464.0333005
21.54,58.41,1013.99,86.34,452.3966995
29.64,69.51,1012.13,44.65,430.3966995
16.7,36.99,1006.19,89.33,466.4066995
19.69,57.32,1012.41,75.51,447.8833005
19.61,56.65,1020.64,63.74,457.41
6.26,41.31,1002.04,87.54,487.2766995
6.9,40.71,1021.78,94.8,471.43
19.12,58.79,1017.34,92.45,448.7266995
12.23,43.69,1016.46,84.4,471.62
10.87,37.5,1011.43,95.56,474.07
20.56,60.08,1017.79,78.08,452.8
31.61,75.08,1004.83,42.29,436.67
14.66,41.92,1030.81,68.88,462.8633005
19.04,50.12,1010.53,100.09,446.59
14.32,45.08,1023.24,84.53,467.21
18.36,53.16,1013.31,83.18,460.1766995
31.74,72.25,1012.21,41.62,435.5833005
19.06,44.63,1004.23,84.43,456.54
14.43,45.08,1023.23,83.98,465.07
12.05,40.55,1016.63,100.14,472.19
17.98,56.85,1012.28,84.52,448.71
28.18,49.3,1003.97,55.56,440.6166995
23.03,44.89,1010.26,59.85,449.5166995
15.78,48.6,1007.24,84.23,460.86
24.45,66.49,1014.24,58.15,447.5133005
18.05,56.03,1020.69,77.87,457.3833005
14.2,38.62,1017.83,77.57,466.9966995
16.73,37.2,1012.94,74.04,462.1833005
13.72,41.62,1011.14,75.79,457.2266995
27.38,59.21,1012.74,53.53,439.4866995
10.99,44.63,1020.67,90.09,474.9966995
26.15,64.27,1013.03,59.77,437.4033005
17.4,63.09,1020.84,92.58,454.7066995
24.29,63.57,1010.29,87.3,444.9866995
29.01,68.08,1010.74,52.51,426.2033005
12.27,43.8,1023.21,57,470.2566995
16.9,44.88,1018.14,72.21,468.5066995
29.39,71.14,1010.97,53.88,428.7933005
25.45,75.23,1011.41,73.33,441.65
27.88,62.66,1009.51,56.44,439.6133005
18.2,49.39,1018.83,96.3,457.5666995
12.59,41.14,1025.79,86.55,467.4466995
19.3,44.9,1008.89,70.55,452.75
18.4,40.79,1006.18,92.36,461.29
14.83,53.82,1016.57,63.47,462.2933005
20.47,58.16,1016.97,68.6,452.2833005
28.65,70.32,1008.46,58.13,433.45
28.92,72.43,1007.03,66.14,431.5
28.64,73.4,1011.48,52.84,443.0266995
12.74,44.03,1007.62,97.64,463.96
10.57,41.26,1008.32,97.96,472.9
30.56,71.25,1000.3,70.55,431.92
13.8,40.2,1013.12,90.59,464.5833005
5.29,41.38,1020.62,83.83,490.4133005
33.59,79.05,1007.79,63.55,434.8033005
6.13,40.64,1020.69,94.57,479.4233005
18.51,48.06,1015.14,79.83,453.7333005
32.8,68.67,1005.27,44.53,433.9866995
24.18,58.49,1011.3,77.82,443.7833005
17.92,50.66,1012.62,93,455.1333005
6.13,39.48,1005.17,53.5,485.8266995
24.43,65.27,1013.25,55.4,440.99
28.88,66.56,1006.26,59.15,424.9533005
13.86,44.21,1022.6,83.56,466.5933005
20.95,48.14,1013.3,67.72,454.0866995
27,59.15,1013.12,61.39,442.2866995
9.07,36.3,1015.26,56.81,481.6866995
19.41,67.32,1012.34,78.8,448.4166995
33.61,69.88,1007.4,42.51,435.99
20.84,59.8,1016.96,75.05,452.8366995
23.31,68.63,1014.73,51.57,449.9066995
9.45,43.5,1018.89,84.29,476.1
13.78,44.47,1027.94,71.09,468.9266995
21.71,58.05,1013.07,85.75,449.38
18.88,44.06,1013.81,68.54,449.4233005
22.58,52.3,1009.04,78.99,443.8933005
12.51,43.67,1013.24,91.55,473.6666995
30.63,74.22,1007.47,46.52,430.38
27.75,66.51,1015.42,39,431.3733005
25.32,60.37,1006.19,73.94,436.7933005
13.85,48.06,1011.13,75.2,460.6833005
23.19,48.6,1002.38,61.19,447.2266995
16.18,43.99,1021.97,80.96,459.1033005
9.98,39.66,1017.32,77.78,481.64
28.87,72.58,1008.69,79.34,428.89
19.05,62.96,1020.48,83.04,452.5533005
19.83,59.44,1012.98,91.24,446.15
26.39,49.02,1007.62,70.82,436.8233005
12.25,48.79,1017.44,88.91,471.2266995
26.93,56.9,1006.25,77.79,446.4066995
27.16,47.43,1009.17,45.79,442.85
28.16,70.4,1003.77,83.17,435.7166995
10.32,41.46,1017.98,87.66,479.61
7.77,35.77,1016.53,73.79,481.3866995
10.13,39.18,1024.09,85.48,479.42
11.02,43.02,1012.32,66.54,477.1033005
30.24,67.32,1014.07,46.53,438.8866995
18.74,45.09,1014.24,41.54,457.9566995
23.26,63.56,1013.64,71.3,444.9633005
18.21,49.69,1013.54,80.16,454.25
23.97,63.86,1018.09,57.62,443.3566995
18.91,43.14,1013.56,58.34,458.4833005
21.65,58.18,1008.33,95.28,441.05
31.67,69.89,1013.88,39.33,424.6433005
32,58.9,1003.48,51.38,437.81
12,41.5,1013.21,86.75,473.68
27.11,70.04,1009.76,71.25,431.96
23.75,67.9,1006.25,70.17,445.22
28.26,69.23,1013.01,42.1,434.6033005
29.96,70.04,1010.15,54.47,425.3933005
9.27,39.64,1010.79,79.56,480.29
31.35,71.97,1008.29,72.26,430.16
25.85,70.36,1005.59,78.23,433.06
13.69,43.22,1009.94,74.64,468.4266995
22.48,50.05,1005.55,82.36,442.56
10.63,37.5,1008.93,98.14,476.5166995
28.61,68.12,1011.71,47.57,432.94
16.32,43.5,1021.3,72.6,460.07
25.46,56.89,1012.59,62.9,441.7933005
27.61,69.68,1012.79,77.01,440.0166995
29.79,67.69,1006.86,55.93,427.0033005
7.32,39.42,1026.15,76.51,474.4133005
26.35,59.44,1012.16,63.73,442.0233005
25.97,43.21,1011.9,88.73,433.1233005
7.33,40,1018.96,80.76,476.4533005
27.05,77.95,1009.57,76.56,434.09
22.22,59.14,1017.32,83.41,440.6033005
25.54,61.08,1013.14,71.15,447.06
23.44,72.24,1011.28,88.03,436.6333005
15.51,41.76,1022.81,69.55,463.82
